model_id,comment,head-ear_0,forward,up,side,rot_by_side_axis,scale,back_1,forward,up,side,rot_by_side_axis,scale,pelvis_2,forward,up,side,rot_by_side_axis,scale,face_3,forward,up,side,rot_by_side_axis,scale,head-Å»_4,forward,up,side,rot_by_side_axis,scale,head-¸¶½ºÅ©_5,forward,up,side,rot_by_side_axis,scale,head-¼ÒÇüÅ»_6,forward,up,side,rot_by_side_axis,scale,arm_7,forward,up,side,rot_by_side_axis,scale,face_8,forward,up,side,rot_by_side_axis,scale,pelvis_9,forward,up,side,rot_by_side_axis,scale,face_jaw(ÅÎ)_10,forward,up,side,rot_by_side_axis,scale,face_glass(¾È°æ)_11,forward,up,side,rot_by_side_axis,scale,head_non_12,forward,up,side,rot_by_side_axis,scale
41,hunter,Bip01 Head,0,-0.5,0,0,1,Bip01 Spine2,0,0,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,-1.7,-0.6,0,0,1,Bip01 Head,-0.45,-0.15,0,-0.1,1,Bip01 Head,-1.5,-0.5,0,0,1,Bip01 Head,-0.235,-0.15,0,-0.1,1,Bip01 L UpperArm,0.15,0,0,0.01,1.03,Bip01 Head,-1.7,-0.6,0,0,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,-1.7,-0.6,0,0,1,Bip01 Head,-1.5,-0.6,0,0,1,Bip01 Head,-1.7,-0.6,0,0,1
42,spade,Bip01 Head,0,0,0,0,1,Bip01 Spine2,0,0,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,-1.6,-0.1,0,-0.03,1,Bip01 Head,-0.5,-0.15,0,-0.1,1,Bip01 Head,-1.9,0.5,0,-0.1,1,Bip01 Head,-0.41,-0.15,0,-0.1,1,Bip01 L UpperArm,0.7,0,0.4,0.01,0.95,Bip01 Head,-1.6,-0.1,0,-0.03,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,-1.6,-0.1,0,-0.03,1,Bip01 Head,-1.6,0.1,0,-0.03,1,Bip01 Head,-1.6,-0.1,0,-0.03,1
43,hero,Bip01 Head,0,-1.3,-0.2,0,1,Bip01 Spine2,-1.9,0,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,-1.5,-0.5,0,-0.025,1,Bip01 Head,-0.235,-0.15,0,-0.1,1,Bip01 Head,-1.4,-0.5,0,0,1,Bip01 Head,-0.235,-0.15,0,-0.1,1,Bip01 L UpperArm,0,0,0,0,1,Bip01 Head,-1.5,-0.5,0,-0.025,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,-1.5,-0.5,0,-0.025,1,Bip01 Head,-1.5,-0.5,0,-0.025,1,Bip01 Head,-1.5,-0.5,0,-0.025,1
44,heroine,Bip01 Head,2,-2,0,0,1,Bip01 Spine2,1.5,-4,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,-1.2,-0.8,0,-0.3,1,Bip01 Head,-0.235,-0.15,0,-0.1,1,Bip01 Head,-1.2,-0.8,0,-0.3,1,Bip01 Head,-0.235,-0.15,0,-0.1,1,Bip01 L UpperArm,0,0,0,0,1,Bip01 Head,-1.2,-0.8,0,-0.3,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,-1.2,-0.8,0,-0.3,1,Bip01 Head,-1.2,-0.8,0,-0.3,1,Bip01 Head,-1.2,-0.8,0,-0.3,1
45,fernando,Bip01 Head,0,0,0,0,1,Bip01 Spine2,0,0,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,-0.8,0.3,0,-0.15,1,Bip01 Head,-0.2,-0.15,0,-0.075,1,Bip01 Head,-0.4,-0.3,0,-0.1,1,Bip01 Head,-0.235,-0.15,0,-0.1,1,Bip01 L UpperArm,0.05,0,0.2,0.01,1.07,Bip01 Head,-0.8,0.3,0,-0.15,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,-0.8,0.3,0,-0.15,1,Bip01 Head,-0.8,0.3,0,-0.15,1,Bip01 Head,-0.8,0.3,0,-0.15,1
46,blair,Bip01 Head,2,-2,0,0,1,Bip01 Spine2,2,-4,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,-1.5,-1.1,0,-0.25,1,Bip01 Head,-0.235,-0.9,0,-0.1,1,Bip01 Head,-1.6,-0.9,0,-0.3,1,Bip01 Head,-0.235,-0.9,0,-0.1,1,Bip01 L UpperArm,0.1,-0.4,-0.2,0.01,0.6,Bip01 Head,-1.4,-1.1,0,-0.25,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,-1.4,-1.1,0,-0.25,1,Bip01 Head,-1.5,-1.1,0,-0.25,1,Bip01 Head,-1.4,-1.1,0,-0.25,1
47,marineboy,Bip01 Head,0,0,0,0,1,Bip01 Spine2,0,0,0,0,1,Bip01 Pelvis,0.8,0,0,0,1,Bip01 Head,-1.2,0,0,-0.05,1,Bip01 Head,-0.235,-0.15,0,-0.085,1,Bip01 Head,-1.5,1,0,-0.1,1,Bip01 Head,-0.235,-0.15,0,-0.1,1,Bip01 L UpperArm,0.55,0,0.4,0.01,1.05,Bip01 Head,-1.6,0.7,0,-0.05,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,-1.6,0.7,0,-0.05,1,Bip01 Head,-1.2,0.3,0,-0.05,1,Bip01 Head,-1.6,0.7,0,-0.05,1
48,marinegirl,Bip01 Head,2.5,-1.5,0,0,1,Bip01 Spine2,2,-4,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,-1.55,-1,0,-0.3,1,Bip01 Head,-0.15,-0.85,0,-0.1,1,Bip01 Head,-1.4,0,0,-0.5,1,Bip01 Head,-0.235,-0.85,0,-0.1,1,Bip01 L UpperArm,0.12,-0.4,0,0.01,0.66,Bip01 Head,-1.45,-1,0,-0.3,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,-1.45,-1,0,-0.3,1,Bip01 Head,-1.15,-1,0,-0.3,1,Bip01 Head,-1,-0.5,0,-0.3,1
50,natasha2,Bip01 Head,2,-3,0,-0.05,1,Bip01 Spine2,2,-4,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,-1.4,-1.4,0,-0.25,1,Bip01 Head,-0.175,-0.9,0,-0.1,1,Bip01 Head,-1.1,-0.9,0,-0.2,1,Bip01 Head,-0.235,-0.9,0,-0.085,1,Bip01 L UpperArm,0.1,-0.4,-0.2,0.01,0.62,Bip01 Head,-1.4,-1.25,0,-0.25,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,-1.4,-1.25,0,-0.25,1,Bip01 Head,-1.4,-1.4,0,-0.25,1,Bip01 Head,-1.4,-1.25,0,-0.25,1
51,jennifer2,Bip01 Head,2,-2,0,0,1,Bip01 Spine2,2,-4,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,-1.3,-1.3,0,-0.3,1,Bip01 Head,-0.1,-1,0,-0.1,1,Bip01 Head,-1.4,-0.8,0,-0.3,1,Bip01 Head,-0.235,-0.9,0,-0.1,1,Bip01 L UpperArm,-0.1,-0.4,0.1,0.01,0.6,Bip01 Head,-0.5,-1.8,0,-0.1,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,-0.5,-1.8,0,-0.1,1,Bip01 Head,-1.3,-1.3,0,-0.3,1,Bip01 Head,-0.5,-1.8,0,-0.1,1
52,pirateboy,Bip01 Head,0,-0.3,-0.5,0,1,Bip01 Spine2,0,0,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,-1.9,-0.5,0,-0.15,1,Bip01 Head,-0.235,-0.15,0,-0.075,1,Bip01 Head,-2.2,-1,0,-0.1,1,Bip01 Head,-0.235,-0.15,0,-0.1,1,Bip01 L UpperArm,-0.1,0,-0.2,0.01,1,Bip01 Head,-1.9,-0.1,0,-0.15,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,-1.9,-0.1,0,-0.15,1,Bip01 Head,-1.9,-0.3,0,-0.15,1,Bip01 Head,-1.9,-0.1,0,-0.15,1
53,pirategirl,Bip01 Head,2,-2.5,0,-0.05,1,Bip01 Spine2,2,-4,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,-1.5,-0.8,0,-0.3,1,Bip01 Head,-0.215,-0.9,0,-0.1,1,Bip01 Head,-1.5,-0.2,0,-0.4,1,Bip01 Head,-0.235,-0.9,0,-0.1,1,Bip01 L UpperArm,0.1,-0.4,-0.2,0.01,0.6,Bip01 Head,-1.2,-0.8,0,-0.3,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,-1.2,-0.8,0,-0.3,1,Bip01 Head,-1.5,-0.8,0,-0.3,1,Bip01 Head,-1.2,-0.8,0,-0.3,1
58,yuri2,Bip01 Head,2,-2,0,-0.05,1,Bip01 Spine2,2,-4,0,0,1,Bip01 Pelvis,0,0,0,0,0.5,Bip01 Head,-1.73,-0.8,0,-0.4,1,Bip01 Head,-0.235,-1,0,-0.1,0.5,Bip01 Head,-1.2,-0.8,0,-0.3,1,Bip01 Head,-0.235,-0.9,0,-0.1,1,Bip01 L UpperArm,0.34,-0.4,-0.2,0.01,0.66,Bip01 Head,-1.65,-0.1,0,-0.4,1,Bip01 Pelvis,1.6,0,-2,0,0.5,Bip01 Head,-1.65,-0.1,0,-0.4,1,Bip01 Head,-1.73,0,0,-0.4,1,Bip01 Head,-1.65,-0.1,0,-0.4,1
59,alice2,Bip01 Head,2,-2.5,0,-0.05,1,Bip01 Spine2,2,-4,0,0,1,Bip01 Pelvis,0,0,0,0,0.8,Bip01 Head,-1.1,-0.8,0,-0.3,1,Bip01 Head,0,-1.73,0,0,0.8,Bip01 Head,-1.1,-0.8,0,-0.3,1,Bip01 Head,-0.235,-1.73,0,0,1,Bip01 L UpperArm,0.1,1.2,0.25,0.01,0.7,Bip01 Head,-1.1,-0.8,0,-0.3,1,Bip01 Pelvis,1.6,0,-2,0,0.8,Bip01 Head,-1.1,-0.8,0,-0.3,1,Bip01 Head,-1.1,-0.8,0,-0.3,1,Bip01 Head,-1.1,-0.8,0,-0.3,1
62,mercenaryct,Bip01 Head,0,0,0,0,1,Bip01 Spine2,0,0,0,0,1,Bip01 Pelvis,0.8,0,0,0,5,Bip01 Head,-1.2,0,0,-0.05,1,Bip01 Head,-0.235,-0.15,0,-0.1,5,Bip01 Head,-1.5,1,0,-0.1,1,Bip01 Head,-0.235,-0.15,0,-0.1,1,Bip01 L UpperArm,0.2,0,0.9,0.01,1.15,Bip01 Head,-0.8,0.3,0,0,1,Bip01 Pelvis,1.6,0,-2,0,5,Bip01 Head,-0.8,0.3,0,0,1,Bip01 Head,-1,0,0,-0.05,1,Bip01 Head,0.5,0.4,0,0,1
63,mercenarytr,Bip01 Head,0,0,0,0,1,Bip01 Spine2,0,0,0,0,1,Bip01 Pelvis,0.8,0,0,0,2,Bip01 Head,0.5,0,0,-0.05,1,Bip01 Head,0.6,0.3,0,-0.1,6,Bip01 Head,-1.5,1,0,-0.1,1,Bip01 Head,-0.235,-0.15,0,-0.1,1,Bip01 L UpperArm,0.8,0,0.7,0.01,1.2,Bip01 Head,0.5,0.5,0,0,1,Bip01 Pelvis,1.6,0,-2,0,2,Bip01 Head,0.5,0.5,0,0,1,Bip01 Head,0.7,0.2,0,-0.05,1,Bip01 Head,0.5,0.5,0,0,1
64,choijiyoon2,Bip01 Head,1,-2,0,0,1,Bip01 Spine2,2,-4,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,-1.7,-1,0,-0.3,1,Bip01 Head,-0.235,-0.9,0,-0.085,1,Bip01 Head,-1.2,-0.9,0,-0.2,1,Bip01 Head,-0.235,-0.9,0,-0.1,1,Bip01 L UpperArm,0.2,-0.4,-0.2,0.01,0.68,Bip01 Head,-0.8,-2.3,0,0,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,-0.8,-2.3,0,0,1,Bip01 Head,-1.7,-1,0,-0.3,1,Bip01 Head,-0.8,-2.3,0,0,1
65,pirategirl2,Bip01 Head,2,-2.5,0,-0.05,1,Bip01 Spine2,2,-4,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,-1.5,-0.8,0,-0.3,1,Bip01 Head,-0.235,-0.9,0,-0.1,1,Bip01 Head,-1.5,-0.2,0,-0.4,1,Bip01 Head,-0.235,-0.9,0,-0.1,1,Bip01 L UpperArm,0.1,-0.4,-0.2,0.01,0.6,Bip01 Head,-1.3,-0.8,0,-0.3,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,-1.3,-0.8,0,-0.3,1,Bip01 Head,-1.5,-0.8,0,-0.3,1,Bip01 Head,-1.3,-0.8,0,-0.3,1
66,idolgirl,Bip01 Head,2,-2.5,0,-0.05,1,Bip01 Spine2,2,-4,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,-1.5,-0.8,0,-0.3,1,Bip01 Head,-0.235,-0.9,0,-0.1,1,Bip01 Head,-1.5,-0.2,0,-0.4,1,Bip01 Head,-0.235,-0.9,0,-0.1,1,Bip01 L UpperArm,0.1,1.3,-0.2,0.01,0.55,Bip01 Head,-1.3,-0.8,0,-0.3,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,-1.3,-0.8,0,-0.3,1,Bip01 Head,-1.5,-0.8,0,-0.3,1,Bip01 Head,-1.3,-0.8,0,-0.3,1
67,boxxergirl,Bip01 Head,2,-2.5,0,-0.05,1,Bip01 Spine2,2,-4,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,-1.5,-0.8,0,-0.3,1,Bip01 Head,-0.235,-0.9,0,-0.1,1,Bip01 Head,-1.5,-0.2,0,-0.4,1,Bip01 Head,-0.235,-0.9,0,-0.1,1,Bip01 L UpperArm,0.1,1.3,-0.2,0.01,0.55,Bip01 Head,-1.3,-0.78,0,-0.3,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,-1.3,-0.78,0,-0.3,1,Bip01 Head,-1.5,-0.8,0,-0.3,1,Bip01 Head,-1.3,-0.78,0,-0.3,1
68,henry,Bip01 Head,0,0,0,0,1,Bip01 Spine2,0,0,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,-1.2,0.5,0,-0.1,1,Bip01 Head,-0.235,-0.15,0,-0.09,1,Bip01 Head,-0.4,-0.1,0,-0.1,1,Bip01 Head,-0.235,-0.15,0,-0.1,1,Bip01 L UpperArm,0.05,0,0.2,0.01,1.07,Bip01 Head,-1.2,0.9,0,-0.1,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,-1.2,0.9,0,-0.1,1,Bip01 Head,-1.2,0.8,0,-0.1,1,Bip01 Head,-1.2,0.9,0,-0.1,1
69,gunsmith,Bip01 Head,2,-2.5,0,-0.05,1,Bip01 Spine2,2,-4,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,-1.5,-0.8,0,-0.3,1,Bip01 Head,0.035,-0.9,0,-0.1,1,Bip01 Head,-1.5,-0.2,0,-0.4,1,Bip01 Head,-0.235,-0.9,0,-0.1,1,Bip01 L UpperArm,0.1,1.3,-0.2,0.01,0.55,Bip01 Head,-1.2,-1.1,0,-0.3,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,-1.2,-1.1,0,-0.3,1,Bip01 Head,-1.5,-1,0,-0.3,1,Bip01 Head,-1.2,-1.1,0,-0.3,1
70,alin,Bip01 Head,2,-2,0,-0.05,1,Bip01 Spine2,2,-4,0,0,1,Bip01 Pelvis,0,0,0,0,0.5,Bip01 Head,-1.73,-0.8,0,-0.4,1,Bip01 Head,0.18,-1,0,-0.1,0.5,Bip01 Head,-1.2,-0.8,0,-0.3,1,Bip01 Head,-0.235,-0.9,0,-0.1,1,Bip01 L UpperArm,0.34,-0.4,-0.2,0.01,0.66,Bip01 Head,-0.6,-2,0,-0.1,1,Bip01 Pelvis,1.6,0,-2,0,0.5,Bip01 Head,-0.6,-2,0,-0.1,1,Bip01 Head,-1.73,-0.6,0,-0.4,1,Bip01 Head,2.4,-1.5,0,-0.1,1
71,dominique,Bip01 Head,0,0,0,0,1,Bip01 Spine2,0,0,0,0,1,Bip01 Pelvis,0.8,0,0,0,5,Bip01 Head,-1.2,0,0,-0.05,1,Bip01 Head,-0.235,-0.15,0,-0.09,5,Bip01 Head,-1.5,1,0,-0.1,1,Bip01 Head,-0.235,-0.15,0,-0.1,1,Bip01 L UpperArm,0.2,0,0.9,0.01,1.15,Bip01 Head,-0.5,0.6,0,0,1,Bip01 Pelvis,1.6,0,0,0,0,Bip01 Head,-0.5,0.6,0,0,1,Bip01 Head,0,0.8,0,-0.05,1,Bip01 Head,-0.5,0.6,0,0,1
72,soi,Bip01 Head,2,-2,0,-0.05,1,Bip01 Spine2,2,-4,0,0,1,Bip01 Pelvis,0,0,0,0,0.5,Bip01 Head,-1.73,-0.8,0,-0.4,1,Bip01 Head,-0.185,-1,0,-0.1,0.5,Bip01 Head,-1.2,-0.8,0,-0.3,1,Bip01 Head,-0.235,-0.9,0,-0.1,1,Bip01 L UpperArm,0.34,-0.4,-0.2,0.01,0.66,Bip01 Head,-0.6,-1.5,0,-0.1,1,Bip01 Pelvis,1.6,0,-2,0,0.5,Bip01 Head,-0.6,-1.5,0,-0.1,1,Bip01 Head,-1.73,-0.5,0,-0.4,1,Bip01 Head,-0.6,-1.5,0,-0.1,1
73,zim,Bip01 Head,0,0,0,0,1,Bip01 Spine2,0,0,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,-0.8,0.3,0,-0.15,1,Bip01 Head,-0.235,-0.15,0,-0.1,1,Bip01 Head,-0.4,-0.3,0,-0.1,1,Bip01 Head,-0.235,-0.15,0,-0.1,1,Bip01 L UpperArm,0.8,0,0.7,0.01,1.1,Bip01 Head,-0.8,1,0,-0.15,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,-0.8,1,0,-0.15,1,Bip01 Head,-0.8,0.5,0,-0.15,1,Bip01 Head,-0.8,2,0,-0.15,1
74,vngirl,Bip01 Head,1,-2.5,0,0,1,Bip01 Spine2,2,-2.8,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,-1.7,-1,0,-0.3,1,Bip01 Head,-0.235,-0.9,0,-0.1,1,Bip01 Head,-1.2,-0.9,0,-0.2,1,Bip01 Head,-0.235,-0.9,0,-0.1,1,Bip01 L UpperArm,0.2,-0.4,-0.2,0.01,0.68,Bip01 Head,0,-2.3,0,0,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,0.3,-0.5,0,0.1,1,Bip01 Head,-1.7,-1,0,-0.3,1,Bip01 Head,1,-2,0,0,1
75,vnman,Bip01 Head,0,0.5,0,0,1,Bip01 Spine2,1,-2,0,0,1,Bip01 Pelvis,2,0,0,0,1,Bip01 Head,-1.25,-0.6,0,-0.05,1,Bip01 Head,-1.2,1.15,0,-0.26,1,Bip01 Head,-1,1.5,0,0,1,Bip01 Head,-1.88,0,0,-0.26,1,Bip01 L UpperArm,-0.2,-0.4,0.3,0.01,1,Bip01 Head,-1.1,0.7,0,0,1,Bip01 Pelvis,1.8,0,-2,0,1,Bip01 Head,-1.1,1.6,0,0,1,Bip01 Head,-0.26,0.73,0,0,1,Bip01 Head,0.5,0.9,0,0,1
76,jinct,Bip01 Head,2,-2,0,-0.05,1,Bip01 Spine2,2,-4,0,0,1,Bip01 Pelvis,0,0,0,0,0.5,Bip01 Head,-1.73,-0.8,0,-0.4,1,Bip01 Head,-0.175,-1,0,-0.1,0.5,Bip01 Head,-1.2,-0.8,0,-0.3,1,Bip01 Head,-0.235,-0.9,0,-0.1,1,Bip01 L UpperArm,0.34,-0.4,-0.2,0.01,0.66,Bip01 Head,-0.6,-1.5,0,-0.1,1,Bip01 Pelvis,1.6,0,-2,0,0.5,Bip01 Head,-0.6,-1.5,0,-0.1,1,Bip01 Head,-1.73,-0.5,0,-0.4,1,Bip01 Head,-0.6,-1.5,0,-0.1,1
77,jintr,Bip01 Head,2,-2,0,-0.05,1,Bip01 Spine2,2,-4,0,0,1,Bip01 Pelvis,0,0,0,0,0.5,Bip01 Head,-1.73,-0.8,0,-0.4,1,Bip01 Head,0.18,-1,0,-0.1,0.5,Bip01 Head,-1.2,-0.8,0,-0.3,1,Bip01 Head,-0.235,-0.9,0,-0.1,1,Bip01 L UpperArm,0.34,-0.4,-0.2,0.01,0.66,Bip01 Head,-0.6,-2,0,-0.1,1,Bip01 Pelvis,1.6,0,-2,0,0.5,Bip01 Head,-0.6,-2,0,-0.1,1,Bip01 Head,-1.73,-0.6,0,-0.4,1,Bip01 Head,2.4,-1.5,0,-0.1,1
78,nojinct,Bip01 Head,2,-2,0,-0.05,1,Bip01 Spine2,2,-4,0,0,1,Bip01 Pelvis,0,0,0,0,0.5,Bip01 Head,-1.73,-0.8,0,-0.4,1,Bip01 Head,-0.175,-1,0,-0.1,0.5,Bip01 Head,-1.2,-0.8,0,-0.3,1,Bip01 Head,-0.235,-0.9,0,-0.1,1,Bip01 L UpperArm,0.34,-0.4,-0.2,0.01,0.66,Bip01 Head,-0.6,-1.5,0,-0.1,1,Bip01 Pelvis,1.6,0,-2,0,0.5,Bip01 Head,-0.6,-1.5,0,-0.1,1,Bip01 Head,-1.73,-0.5,0,-0.4,1,Bip01 Head,-0.6,-1.5,0,-0.1,1
79,nojintr,Bip01 Head,2,-2,0,-0.05,1,Bip01 Spine2,2,-4,0,0,1,Bip01 Pelvis,0,0,0,0,0.5,Bip01 Head,-1.73,-0.8,0,-0.4,1,Bip01 Head,0.18,-1,0,-0.1,0.5,Bip01 Head,-1.2,-0.8,0,-0.3,1,Bip01 Head,-0.235,-0.9,0,-0.1,1,Bip01 L UpperArm,0.34,-0.4,-0.2,0.01,0.66,Bip01 Head,-0.6,-2,0,-0.1,1,Bip01 Pelvis,1.6,0,-2,0,0.5,Bip01 Head,-0.6,-2,0,-0.1,1,Bip01 Head,-1.73,-0.6,0,-0.4,1,Bip01 Head,2.4,-1.5,0,-0.1,1
81,police,Bip01 Head,2,-2,0,0,1,Bip01 Spine2,2,-4,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,-1.4,-0.8,0,-0.3,1,Bip01 Head,-0.225,-0.9,0,-0.1,1,Bip01 Head,-1.4,-0.8,0,-0.3,1,Bip01 Head,-0.235,-0.9,0,-0.1,1,Bip01 L UpperArm,0.3,-0.4,0,0.01,0.65,Bip01 Head,-1.2,-0.6,0,-0.3,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,-1.2,-0.6,0,-0.3,1,Bip01 Head,-1.4,-1,0,-0.3,1,Bip01 Head,-1.2,-0.6,0,-0.3,1
82,thief,Bip01 Head,2,-2,0,0,1,Bip01 Spine2,2,-4,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,-1.4,-0.8,0,-0.3,1,Bip01 Head,-0.225,-0.9,0,-0.1,1,Bip01 Head,-1.4,-0.8,0,-0.3,1,Bip01 Head,-0.235,-0.9,0,-0.1,1,Bip01 L UpperArm,0.3,-0.4,0,0.01,0.65,Bip01 Head,-1.2,-0.6,0,-0.3,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,-1.2,-0.6,0,-0.3,1,Bip01 Head,-1.4,-1,0,-0.3,1,Bip01 Head,-1.2,-0.6,0,-0.3,1
83,victor,Bip01 Head,0,0,0,0,1,Bip01 Spine2,0,0,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,-1.2,0.5,0,-0.1,1,Bip01 Head,-0.235,-0.15,0,-0.09,1,Bip01 Head,-0.4,-0.1,0,-0.1,1,Bip01 Head,-0.235,-0.15,0,-0.1,1,Bip01 L UpperArm,0.05,0,0.2,0.01,1.07,Bip01 Head,-1.2,0.9,0,-0.1,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,-1.2,0.9,0,-0.1,1,Bip01 Head,-1.2,0.8,0,-0.1,1,Bip01 Head,-1.2,0.9,0,-0.1,1
84,twctclass,Bip01 Head,0,0.9,0,0,1,Bip01 Spine2,1,-2,0,0,1,Bip01 Pelvis,1,0.5,0,0,1,Bip01 Head,-1.3,1.25,0,-0.05,1,Bip01 Head,-1.2,1.15,0,-0.26,1,Bip01 Head,-1,1.5,0,0,1,Bip01 Head,-1.88,0,0,-0.26,1,Bip01 L UpperArm,-0.2,-0.4,0.3,0.01,1,Bip01 Head,-1.4,1.3,0,0,1,Bip01 Pelvis,1.8,0,-2,0,1,Bip01 Head,-1.1,1.6,0,0,1,Bip01 Head,-0.8,1.6,0,0,1,Bip01 Head,0.5,0.9,0,0,1
85,twtrclass,Bip01 Head,0,0.9,0,0,1,Bip01 Spine2,1,-2,0,0,1,Bip01 Pelvis,1,0.5,0,0,1,Bip01 Head,-1.3,1.25,0,-0.05,1,Bip01 Head,-1.2,1.15,0,-0.26,1,Bip01 Head,-1,1.5,0,0,1,Bip01 Head,-1.88,0,0,-0.26,1,Bip01 L UpperArm,-0.2,-0.4,0.3,0.01,1,Bip01 Head,-1.4,1.3,0,0,1,Bip01 Pelvis,1.8,0,-2,0,1,Bip01 Head,-1.1,1.6,0,0,1,Bip01 Head,-0.8,1.6,0,0,1,Bip01 Head,0.5,0.9,0,0,1
